Classifier Name,Dataset,Balance,Num Training Samples,Num Non-Healthy Companies,TP,TN,FP,FN,F1 Score,AUC ROC
Logistic Regression_max_iter_500,Train,Balanced,558,186,90,335,37,96,0.5750798722044729,0.6922043010752689
Logistic Regression_max_iter_500,Test,Balanced,2679,62,36,2328,289,26,0.186046511627907,0.7351066845809656
Logistic Regression_max_iter_500,Train,Balanced,558,186,101,341,31,85,0.6352201257861635,0.7298387096774193
Logistic Regression_max_iter_500,Test,Balanced,2679,62,29,2234,383,33,0.12236286919831224,0.6606955760720845
Logistic Regression_max_iter_500,Train,Balanced,558,186,91,331,41,95,0.5723270440251572,0.689516129032258
Logistic Regression_max_iter_500,Test,Balanced,2679,62,34,2368,249,28,0.19710144927536233,0.726619990878499
Logistic Regression_max_iter_1500_liblinear,Train,Balanced,558,186,92,336,36,94,0.5859872611464968,0.6989247311827957
Logistic Regression_max_iter_1500_liblinear,Test,Balanced,2679,62,25,2418,199,37,0.17482517482517482,0.6635922689117063
Logistic Regression_max_iter_1500_liblinear,Train,Balanced,558,186,88,330,42,98,0.5569620253164557,0.6801075268817204
Logistic Regression_max_iter_1500_liblinear,Test,Balanced,2679,62,37,2358,259,25,0.20670391061452514,0.7489029546266964
Logistic Regression_max_iter_1500_liblinear,Train,Balanced,558,186,109,343,29,77,0.6728395061728396,0.7540322580645161
Logistic Regression_max_iter_1500_liblinear,Test,Balanced,2679,62,35,2218,399,27,0.1411290322580645,0.706025737424039
Logistic Regression_max_iter_1500_liblinear,Train,Balanced,558,186,98,338,34,88,0.6163522012578616,0.7177419354838709
Logistic Regression_max_iter_1500_liblinear,Test,Balanced,2679,62,34,2332,285,28,0.1784776902887139,0.719741886178461
Decision Tree_max_depth_5,Train,Balanced,558,186,156,325,47,30,0.8020565552699228,0.8561827956989247
Decision Tree_max_depth_5,Test,Balanced,2679,62,42,1932,685,20,0.1064638783269962,0.7078346296547388
Decision Tree_max_depth_5,Train,Balanced,558,186,152,333,39,34,0.8063660477453581,0.8561827956989247
Decision Tree_max_depth_5,Test,Balanced,2679,62,38,2016,601,24,0.10841654778887305,0.6916254761053657
Decision Tree_max_depth_5,Train,Balanced,558,186,139,346,26,47,0.792022792022792,0.8387096774193549
Decision Tree_max_depth_5,Test,Balanced,2679,62,29,2203,414,33,0.11485148514851486,0.6547727636914961
Decision Tree_max_depth_5,Train,Balanced,558,186,134,343,29,52,0.7679083094555875,0.8212365591397849
Decision Tree_max_depth_5,Test,Balanced,2679,62,41,2170,447,21,0.14909090909090908,0.7452420279315147
Decision Tree_max_depth_10,Train,Balanced,558,186,176,364,8,10,0.9513513513513514,0.9623655913978495
Decision Tree_max_depth_10,Test,Balanced,2679,62,33,2077,540,29,0.10393700787401575,0.6629574617574914
Decision Tree_max_depth_10,Train,Balanced,558,186,177,372,0,9,0.9752066115702479,0.9758064516129032
Decision Tree_max_depth_10,Test,Balanced,2679,62,39,2082,535,23,0.12264150943396225,0.7122998508511346
Decision Tree_max_depth_10,Train,Balanced,558,186,169,369,3,17,0.9441340782122903,0.9502688172043011
